x,y,,,,
2.1,16.53571429,,,,16.53571429
2.1,15.1547619,,,,15.1547619
2.1,19,,,,19
2.2,31.14443854,,,,0
2.2,22.95238095,,,,22.95238095
2.2,23.05952381,,,,23.05952381
2.2,19.73809524,,,,19.73809524
2.2,16.19642857,,,,16.19642857
2.2,20.50595238,,,,20.50595238
2.2,17.54761905,,,,17.54761905
2.2,14.08333333,,,,14.08333333
2.2,14.93452381,,,,14.93452381
2.2,16.89285714,,,,16.89285714
2.2,22.33333333,,,,22.33333333
2.2,20.04761905,,,,20.04761905
2.2,21.89285714,,,,21.89285714
2.2,16.54166667,,,,16.54166667
2.2,17.99404762,,,,17.99404762
2.2,16.86904762,,,,16.86904762
2.2,16.44047619,,,,16.44047619
2.2,16.91666667,,,,16.91666667
2.2,12.375,,,,12.375
2.2,23.14880952,,,,23.14880952
2.3,16.05357143,,,,16.05357143
2.3,16.54166667,,,,16.54166667
2.3,16.88690476,,,,16.88690476
2.3,17.88690476,,,,17.88690476
2.3,10.93452381,,,,10.93452381
2.3,14.22619048,,,,14.22619048
2.3,15.67857143,,,,15.67857143
2.3,15.83333333,,,,15.83333333
2.3,16.02380952,,,,16.02380952
2.3,11.01785714,,,,11.01785714
2.3,15.06547619,,,,15.06547619
2.3,16.2797619,,,,16.2797619
2.3,13.98214286,,,,13.98214286
2.3,17.16071429,,,,17.16071429
2.3,12.89285714,,,,12.89285714
2.3,17.36309524,,,,17.36309524
2.3,29.8384762,,,,0
2.3,17.95833333,,,,17.95833333
2.3,18.58928571,,,,18.58928571
2.3,16.0952381,,,,16.0952381
2.4,21.3452381,,,,21.3452381
2.4,13.85119048,,,,13.85119048
2.4,17.13690476,,,,17.13690476
2.4,17.29166667,,,,17.29166667
2.4,19.46428571,,,,19.46428571
2.4,16.17261905,,,,16.17261905
2.4,17.1547619,,,,17.1547619
2.4,20.625,,,,20.625
2.4,15.51785714,,,,15.51785714
2.4,28.36309524,,,,28.36309524
2.4,16.7797619,,,,16.7797619
2.4,23.63095238,,,,23.63095238
2.4,15.57738095,,,,15.57738095
2.4,18.42857143,,,,18.42857143
2.4,14.25595238,,,,14.25595238
2.4,13.14880952,,,,13.14880952
2.4,12.625,,,,12.625
2.4,14.01785714,,,,14.01785714
2.4,22.29166667,,,,22.29166667
2.4,11.7797619,,,,11.7797619
